trait_Zodiac,token_id,trait_Nose,trait_Eyes,trait_Body,trait_Head,trait_Mouth,trait_Sign,trait_Matching Set,trait_Totem,rarity_score
Nail,7746,Plaster,Buddha,Chicken,Sailor,Leo,Sign,-1,-1,428.1119715053641
Rottenbottle,2843,Bigppig,Anuses,Magnum,Babylon,Teethout,Sign,-1,-1,427.40977215950033
Nail,6076,Plaster,Wide,Mario,Fishman,Microphone,Sign,-1,-1,427.08762756669574
Hoock,2854,Alex,Dots,VDV,Robot,Stringed,Sign,-1,-1,426.47714551750335
Mapcross,7145,Anus,Buddha,Leopard,Buddha,Dick,Sign,-1,-1,426.2771257764636
Poisoned,5445,Beavis,Buddha,Golden,Fishman,Microphone,Sign,-1,-1,425.48561662931525
Rottenbottle,7786,Pinoccio,Pirato,Chicken,Hugo,Ugly,Sign,-1,-1,425.1631808241602
Exwife,5844,Vata,Anuses,Golden,Gman,Ugly,Sign,-1,-1,423.83848491368303
Deadcop,4446,Devil,Gentlemen,Chicken,Beaten,Wong,Sign,-1,-1,420.8734830880006
Therapist,5887,Smallpig,Anuses,Cuted,Sailor,Poker,Sign,-1,-1,420.51823985609195
Rottenbottle,4108,Bull,Smoky,Chair,Bra,Orc,Sign,-1,-1,420.14790422378616
Mapcross,1975,Plastered,Anuses,Cuted,Sailor,Wong,Sign,-1,-1,414.76422124705493
Exwife,5051,Anus,Coolglasses,Rotten,Nipple,Orc,Sign,-1,-1,414.3343248736636
Iguana,5125,Ruffo,Cry,Office,Raiden,Microphone,Sign,-1,-1,414.11008454606366
Spider,4410,Anus,Hypnotic,Hoodie,Beaten,Chappy,Sign,-1,-1,411.9216537170484
Spider,611,Hole,Shop,Office,Can,Cat,Sign,-1,-1,410.0779829294984
Halfburger,3932,Sticked,Pirato,Boobs,Raiden,Microphone,Sign,-1,-1,409.74967517717386
Deadcop,7832,Jerry,Sporty,Redisco,Gman,Smile,Sign,-1,-1,409.1148821261921
Hoock,4773,Smallpig,Comix,Leopard,Robot,Texting,Sign,-1,-1,406.8432107031974
Oldporn,2115,Plastered,Rage,Blooded,Bra,Stickered,Sign,-1,-1,405.8019012725867
Worm,1402,Bushes,Kitty,Meat,Bra,Texas,Sign,-1,-1,404.05494400078976
Deadcop,2414,Anus,Nosferatu,Haminguay,Sailor,Ugly,Sign,-1,-1,402.7500820713962
Spider,3893,Worm,Feelings,Shirt,Cap,Microphone,Sign,-1,-1,400.1611254906377
Spider,7718,Beated,Love,Boned,Fishman,Cat,Sign,-1,-1,400.0279426491721
Halfburger,3761,Pierced,Shop,Blooded,Star,Smoke,Sign,-1,-1,399.94908378041566
Plastico,3140,Stop,Coins,Hairy,Raiden,Rotten,Sign,-1,-1,399.70657174260805
Rottenbottle,5748,Anus,Mutated,Hoodie,Can,Chappy,Sign,-1,-1,398.2604734226713
Overconsume,6063,Anus,Tripple,Rotten,Nipple,Wong,Sign,-1,-1,398.0321021715477
Plastico,1301,Vata,Sporty,Blooded,Can,Butthead,Sign,-1,-1,395.94968302208423
Oldporn,6425,Anus,Fish,Haminguay,Babylon,Orc,Sign,-1,-1,395.802402424986
Iguana,683,Jerry,Fish,Skeleton,Fishman,Vampire,Sign,-1,-1,394.4734985870835
Nail,6000,Pinoccio,Fu,Army,Raiden,Microphone,Sign,-1,-1,394.28024953685946
Cockroach,3958,Anus,Fish,Golden,Punk,Smile,Sign,-1,-1,393.2975993941319
Spider,4866,Anus,Mutated,Hairy,Nipple,Yakubovich,Sign,-1,-1,393.0979391781113
Overconsume,7751,Pierced,Sporty,VDV,Beaten,Eye,Sign,-1,-1,391.48540528443965
Poisoned,224,Anus,Rage,Hooligan,Can,Pierced,Sign,-1,-1,391.3338408098169
Nail,1132,Anus,Cyber,Hairy,Goblin,Smoke,Sign,-1,-1,390.87920216756106
Cockroach,1762,Anus,Lens,Shirt,Bold,Teethout,Sign,-1,-1,388.50850825539186
Exwife,4987,Stop,Cyber,Hooligan,Hugo,Texting,Sign,-1,-1,387.5707415917214
Worm,1595,Anus,Rage,Blooded,Babylon,Pierced,Sign,-1,-1,387.2384827655776
Rottenbottle,1307,Teenager,Shop,Haminguay,Beaten,Vampire,Sign,-1,-1,381.34572164756696
Nail,1645,Plastered,Sporty,Doctor,Raiden,Wong,Sign,-1,-1,380.24389237514305
Therapist,1839,Beated,Robo,Urka,Nipple,Microphone,Sign,-1,-1,379.4430967054201
Deadcop,1257,Stop,Love,Hoodie,Cap,Tripple,Sign,-1,-1,378.74210076176615
Plastico,4354,Anus,Pirato,Blooded,Beaten,Leo,Sign,-1,-1,377.5113390587537
Spider,7490,Devil,Crybaby,Skeleton,Bold,Microphone,Sign,-1,-1,377.4259230482482
Worm,5625,Anus,Buddha,Leopard,Sailor,Hellraiser,Sign,-1,-1,377.25093332857836
Therapist,6445,Anus,Pirato,Mario,Beaten,Wong,Sign,-1,-1,377.06908420588934
Overconsume,5153,Anus,Ping,Blooded,Buddha,Lui,Sign,-1,-1,376.0881268457615
Poisoned,933,Anus,Gentlemen,Armored,Sailor,Chappy,Sign,-1,-1,375.364120645376
Cockroach,4864,Anus,Fu,Magnum,Nipple,Yakubovich,Sign,-1,-1,374.2784801010498
Exwife,1634,Bull,Cry,VDV,Punk,Microphone,Sign,-1,-1,374.1770091431201
Halfburger,6721,Anus,Ping,Hairy,Sailor,Yakubovich,Sign,-1,-1,373.7599226710358
Rottenbottle,5818,Hole,Bushes,Hairy,Raiden,Clown,Sign,-1,-1,373.34215520514846
Oldporn,5560,Bushes,Sporty,Armored,Can,Football,Sign,-1,-1,371.04081456780585
Halfburger,2403,Zigzag,Beaten,VDV,Babylon,Microphone,Sign,-1,-1,370.9568566635951
Rottenbottle,4791,Devil,Cyber,Redisco,Sailor,Microphone,Sign,-1,-1,369.49043467642497
Overconsume,373,Stop,Pirato,Boned,Buddha,Orc,Sign,-1,-1,368.7580766185472
Worm,3987,Anus,Gentlemen,Blooded,Beaten,Teethy,Sign,-1,-1,368.24852507784874
Plastico,5045,Pierced,Gentlemen,Urka,Bold,Microphone,Sign,-1,-1,368.2209383988725
Worm,4065,Booger,Coins,Rotten,Raiden,Vampire,Sign,-1,-1,368.1725929644335
Cockroach,1627,Bull,Kitty,Boned,Sailor,Vampire,Sign,-1,-1,367.1039447851085
Spider,7630,Bull,Buddha,Boobs,Malett,Microphone,Sign,-1,-1,367.0470022608409
Nail,7382,Beavis,Ping,Boned,Babylon,Vampire,Sign,-1,-1,366.9450982880818
Spider,16,Beated,Fish,Army,Babylon,Microphone,Sign,-1,-1,365.8342554036082
Deadcop,5918,Devil,Bushes,Hooligan,Hugo,Texting,Sign,-1,-1,365.0049530916826
Rottenbottle,7172,Bull,Wide,Urka,Hugo,Microphone,Sign,-1,-1,364.33366076514045
Nail,3472,Rat,Sporty,Shirt,Beaten,Shark,Sign,-1,-1,363.84494761840295
Therapist,5615,Sticked,Dots,Boned,Buddha,Bender,Sign,-1,-1,362.5498459764281
Exwife,2749,Ruffo,Sporty,Urka,Sailor,Teethy,Sign,-1,-1,362.4379691067454
Plastico,4392,Bigppig,Sporty,Boobs,Sailor,Leo,Sign,-1,-1,361.4248433589255
Worm,3273,Ruffo,Tripple,Hoodie,Bra,Bender,Sign,-1,-1,361.3060552565453
Oldporn,6213,Vata,Sporty,Shirt,Beaten,Wong,Sign,-1,-1,358.5927416404977
Mapcross,7937,Beavis,Feelings,Haminguay,Malett,Microphone,Sign,-1,-1,358.27408201549883
Deadcop,6124,Bigppig,Nosferatu,Hooligan,Bra,Ugly,Sign,-1,-1,358.053981490526
Oldporn,7091,Plagued,Sporty,Armored,Hugo,Shark,Sign,-1,-1,357.65240469088144
Rottenbottle,4733,Beated,Kitty,Meat,Goblin,Texting,Sign,-1,-1,356.8704715445859
Rottenbottle,7303,Hole,Feelings,Chair,Cap,Stickered,Sign,-1,-1,356.4207262736148
Overconsume,941,Ruffo,Sporty,Leopard,Babylon,Disgust,Sign,-1,-1,354.34306962880675
Overconsume,7213,Beavis,Sporty,Armored,Gman,Lui,Sign,-1,-1,354.0080959756924
Deadcop,363,Alex,Sporty,Army,Nipple,Disgust,Sign,-1,-1,353.53644138790867
